Show,First Report,Last Report,At Bushnell,Bushnell First,,First report Season,First Bushnell season
Shrek 2024,2/25/2024,12/29/2024,No,,,2024,
Shucked,10/20/2024,5/31/2026,Yes,3/1/2026,,2025,2026
Six (Aragon),4/3/2022,7/30/2023,Yes,1/22/2023,,2022,2023
Six (Boleyn),9/25/2022,2/2/2025,Yes,1/5/2025,,2023,2025
Some Like it Hot,9/22/2024,4/26/2026,Yes,5/4/2025,,2025,2025
South Pacific 2022,2/13/2022,5/22/2022,No,,,2022,
Spamalot 2025,12/7/2025,5/31/2026,Yes,12/14/2025,,2026,2026
Stereophonic,10/12/2025,5/10/2026,No,,,2026,
Stomp,11/17/2019,5/10/2026,Yes,5/29/2022,,2020,2022
Suffs,9/14/2025,5/31/2026,Yes,2/1/2026,,2026,2026
Summer,10/6/2019,5/29/2022,No,,,2020,
The Addams Family 2025,2/2/2025,11/2/2025,No,,,2025,
The Band's Visit,7/21/2019,3/8/2020,No,,,2020,
The Bands Visit,10/24/2021,7/31/2022,Yes,11/21/2021,,2022,2022
The Book of Mormon (Jumamosi),7/21/2019,3/8/2020,Yes,10/20/2019,,2020,2020
The Book of Mormon 2022,9/25/2022,5/24/2026,No,,,2023,
The Cher Show,11/26/2023,5/4/2025,Yes,3/10/2024,,2024,2024
The Color Purple 2019,11/3/2019,3/8/2020,No,,,2020,
The Devil Wears Prada Pre,7/24/2022,8/21/2022,No,,,2023,
The Great Gatsby,2/1/2026,5/31/2026,No,,,2026,
The Illusionists,11/24/2019,3/8/2020,No,,,2020,
The Kite Runner,4/7/2024,6/30/2024,No,,,2024,
The Last Ship,1/19/2020,3/8/2020,No,,,2020,
The Lion King (Toronto) 2024,11/3/2024,11/3/2024,No,,,2025,
The Lion King Rafiki,7/21/2019,5/31/2026,Yes,11/17/2024,,2020,2025
The Music Man 2026,1/18/2026,5/31/2026,No,,,2026,
The New One,9/29/2019,11/24/2019,No,,,2020,
The Notebook,9/7/2025,5/31/2026,Yes,10/5/2025,,2026,2026
The Outsiders,9/21/2025,5/31/2026,No,,,2026,
The Phantom of the Opera 2025,11/9/2025,5/31/2026,No,,,2026,
The Phantom of the Opera 4,7/21/2019,2/2/2020,No,,,2020,
The Play That Goes Wrong,7/21/2019,3/8/2020,No,,,2020,
The Play That Goes Wrong (DC),7/23/2023,8/13/2023,No,,,2024,
The Prom,11/7/2021,10/2/2022,No,,,2022,
The Queen of Versailles pre,8/11/2024,8/25/2024,No,,,2025,
The Simon and Garfunkel Story,10/31/2021,6/2/2024,Yes,3/12/2023,,2022,2023
The Sound of Music 2025,9/7/2025,5/31/2026,No,,,2026,
The SpongeBob Musical,11/3/2019,3/8/2020,No,,,2020,
The Wiz 2023 Pre,9/24/2023,3/3/2024,No,,,2024,
The Wiz 2025,2/23/2025,5/31/2026,Yes,3/16/2025,,2025,2025
Tina - The Tina Turner Musical,9/18/2022,4/19/2026,Yes,4/16/2023,,2023,2023
To Kill a Mockingbird,4/3/2022,6/30/2024,Yes,7/2/2023,,2022,2024
Tootsie,10/24/2021,6/25/2023,Yes,2/26/2023,,2022,2023
Twas the Night Before… 2024,12/1/2024,12/29/2024,No,,,2025,
Waitress,7/21/2019,6/12/2022,No,,,2020,
Waitress 2022,4/24/2022,6/26/2022,No,,,2022,
Water for Elephants,9/28/2025,5/31/2026,No,,,2026,
We Will Rock You 2019,11/3/2019,2/23/2020,No,,,2020,
What the Constitution Means to Me,9/15/2019,4/3/2022,Yes,1/30/2022,,2020,2022
Wicked 2,7/21/2019,5/31/2026,Yes,4/28/2024,,2020,2024
